Accession,TAA_0,TAA_1,TAA_2,TAA_3,TAA_4,TAA_5,TAA_6,TGA_0,TGA_1,TGA_2,TGA_3,TGA_4,TGA_5,TGA_6,TAG_0,TAG_1,TAG_2,TAG_3,TAG_4,TAG_5,TAG_6,GC,GC3
AE000511,1.0,0.04132231404958678,0.04132231404958678,0.0743801652892562,0.09917355371900827,0.09090909090909091,0.05785123966942149,1.0,0.044444444444444446,0.06666666666666667,0.13333333333333333,0.08888888888888889,0.08888888888888889,0.06666666666666667,1.0,0.0,0.08108108108108109,0.08108108108108109,0.02702702702702703,0.05405405405405406,0.05405405405405406,38.873183533219375,40.89859641519995
AE004092,1.0,0.056074766355140186,0.07476635514018691,0.09345794392523364,0.09345794392523364,0.08411214953271028,0.07476635514018691,1.0,0.2608695652173913,0.043478260869565216,0.0,0.043478260869565216,0.13043478260869565,0.08695652173913043,1.0,0.09375,0.0,0.0625,0.0625,0.03125,0.15625,38.511784231872355,31.6688542072041
AE005176,1.0,0.14035087719298245,0.11695906432748537,0.18128654970760233,0.05263157894736842,0.06432748538011696,0.07602339181286549,1.0,0.0,0.037037037037037035,0.1111111111111111,0.07407407407407407,0.07407407407407407,0.1111111111111111,1.0,0.125,0.1875,0.0625,0.0,0.0625,0.0,35.329383083874674,25.475409051731596
AE006468,1.0,0.055299539170506916,0.04608294930875576,0.03686635944700461,0.03686635944700461,0.03686635944700461,0.03686635944700461,1.0,0.03409090909090909,0.022727272727272728,0.056818181818181816,0.03409090909090909,0.03409090909090909,0.03409090909090909,1.0,0.02127659574468085,0.06382978723404255,0.1276595744680851,0.0,0.0851063829787234,0.02127659574468085,52.22170068657424,57.043899779355634
AE014299,1.0,0.030303030303030304,0.05454545454545454,0.05454545454545454,0.10303030303030303,0.04242424242424243,0.06060606060606061,1.0,0.2857142857142857,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142,1.0,0.02127659574468085,0.06382978723404255,0.0425531914893617,0.0851063829787234,0.1276595744680851,0.0425531914893617,45.960882617065316,45.78083558393288
AE015928,1.0,0.06578947368421052,0.10526315789473684,0.02631578947368421,0.06578947368421052,0.07894736842105263,0.05263157894736842,1.0,0.13333333333333333,0.0,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,1.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,42.83717823940185,44.58875565762742
AE016823,1.0,0.06132075471698113,0.07075471698113207,0.07075471698113207,0.0660377358490566,0.10849056603773585,0.04245283018867924,1.0,0.08139534883720931,0.08139534883720931,0.11627906976744186,0.046511627906976744,0.03488372093023256,0.11627906976744186,1.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.07272727272727272,35.049524395133716,29.64888454398507
AE017225,1.0,0.14594594594594595,0.0918918918918919,0.0918918918918919,0.08108108108108109,0.05945945945945946,0.05405405405405406,1.0,0.2222222222222222,0.05555555555555555,0.0,0.0,0.16666666666666666,0.05555555555555555,1.0,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.034482758620689655,0.0,0.034482758620689655,35.3794459501406,26.209940212096104
AE017285,1.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,1.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.017857142857142856,1.0,0.0,0.028985507246376812,0.0,0.0,0.0,0.0,63.14261166363938,74.76735786710447
AE017354,1.0,0.08620689655172414,0.06896551724137931,0.034482758620689655,0.05172413793103448,0.06896551724137931,0.10344827586206896,1.0,0.13043478260869565,0.043478260869565216,0.13043478260869565,0.043478260869565216,0.043478260869565216,0.043478260869565216,1.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.125,0.0,38.26951568595019,32.75505943755892
AL123456,1.0,0.03076923076923077,0.015384615384615385,0.03076923076923077,0.015384615384615385,0.06153846153846154,0.046153846153846156,1.0,0.03125,0.005208333333333333,0.026041666666666668,0.03125,0.020833333333333332,0.020833333333333332,1.0,0.0,0.03125,0.0390625,0.046875,0.015625,0.046875,65.61466628826449,78.52914230432377
AL590842,1.0,0.04285714285714286,0.02857142857142857,0.05,0.04285714285714286,0.02142857142857143,0.06428571428571428,1.0,0.06976744186046512,0.06976744186046512,0.09302325581395349,0.046511627906976744,0.06976744186046512,0.09302325581395349,1.0,0.058823529411764705,0.029411764705882353,0.11764705882352941,0.029411764705882353,0.029411764705882353,0.058823529411764705,47.63611023248458,48.09749834886232
AP009552,1.0,0.03409090909090909,0.06136363636363636,0.056818181818181816,0.056818181818181816,0.05227272727272727,0.11363636363636363,1.0,0.046263345195729534,0.03202846975088968,0.07473309608540925,0.09252669039145907,0.014234875444839857,0.0498220640569395,1.0,0.02252252252252252,0.04054054054054054,0.02252252252252252,0.036036036036036036,0.05855855855855856,0.12612612612612611,42.33063114485447,39.50931745666048
AP012205,1.0,0.06451612903225806,0.03225806451612903,0.010752688172043012,0.03225806451612903,0.06451612903225806,0.07526881720430108,1.0,0.13513513513513514,0.13513513513513514,0.13513513513513514,0.10810810810810811,0.0,0.02702702702702703,1.0,0.0,0.023529411764705882,0.08235294117647059,0.047058823529411764,0.058823529411764705,0.07058823529411765,47.73037910135888,49.90495534861084
BA000017,1.0,0.09090909090909091,0.10909090909090909,0.12272727272727273,0.10909090909090909,0.10454545454545454,0.10454545454545454,1.0,0.1875,0.0,0.0,0.0625,0.1875,0.0625,1.0,0.08108108108108109,0.10810810810810811,0.16216216216216217,0.10810810810810811,0.08108108108108109,0.05405405405405406,32.87779973729638,23.01103521987631
BX897699,1.0,0.04504504504504504,0.09009009009009009,0.04504504504504504,0.07207207207207207,0.06306306306306306,0.08108108108108109,1.0,0.12,0.06,0.04,0.08,0.14,0.08,1.0,0.03125,0.0625,0.09375,0.0625,0.125,0.03125,38.23034861399023,28.890098869255546
CP001114,1.0,0.0,0.03125,0.015625,0.03125,0.046875,0.03125,1.0,0.017241379310344827,0.0603448275862069,0.0,0.034482758620689655,0.034482758620689655,0.02586206896551724,1.0,0.0,0.030303030303030304,0.0,0.030303030303030304,0.0,0.06060606060606061,63.38816146436573,74.68077434111375
CP001219,1.0,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.0,1.0,0.03076923076923077,0.015384615384615385,0.046153846153846156,0.015384615384615385,0.03076923076923077,0.0,1.0,0.043478260869565216,0.0,0.043478260869565216,0.0,0.0,0.0,58.77245718795988,65.35039366073784
U00096,1.0,0.051440329218107,0.043209876543209874,0.04526748971193416,0.02880658436213992,0.043209876543209874,0.05761316872427984,1.0,0.09762532981530343,0.044854881266490766,0.055408970976253295,0.05013192612137203,0.026385224274406333,0.06860158311345646,1.0,0.057971014492753624,0.057971014492753624,0.09420289855072464,0.08695652173913043,0.028985507246376812,0.10144927536231885,50.79070985933456,53.7633008577989
